identifier,digital_origin,form,language,language_of_cataloging,identifier 2,identifier 3,object_in_context,physicalDescription_note,part_detail_title,subject_temporal,subject_geographic,item_type,date_text,date_single_start,title,title_of_part,rights,repository,name,place_of_origin,publisher,project_title,project_url,project_abstract,record_source,file_thumbnail_URL
sanborn_244,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:244,sanborn_knoxville1917_0111,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A244,100 ft./inch,District-Ward 106,1917,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1917,1917,Knoxville -- 1917,Sheet 106,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A244/datastream/TN/view/Knoxville%20--%201917%20--%20Sheet%20106.jpg
sanborn_1118,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:1118,sanborn_knoxville1903_0062,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1118,50 ft./inch,District-Ward 56,1903,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1903,1903,Knoxville -- 1903,Sheet 56,Public domain.,"University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1118/datastream/TN/view/Knoxville%20--%201903%20--%20Sheet%2056.jpg
sanborn_1177,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:1177,sanborn_knoxville1917_0044,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1177,50 ft./inch,District-Ward 39,1917,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1917,1917,Knoxville -- 1917,Sheet 39,Public domain.,"University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1177/datastream/TN/view/Knoxville%20--%201917%20--%20Sheet%2039.jpg
sanborn_1026,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:1026,sanborn_knoxville1890_0013,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1026,50 ft./inch,District-Ward 12,1890,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1890,1890,Knoxville -- 1890,Sheet 12,Public domain.,"University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1026/datastream/TN/view/Knoxville%20--%201890%20--%20Sheet%2012.jpg
sanborn_1218,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:1218,sanborn_knoxville1917_0085,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1218,100 ft./inch,District-Ward 80,1917,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1917,1917,Knoxville -- 1917,Sheet 80,Public domain.,"University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1218/datastream/TN/view/Knoxville%20--%201917%20--%20Sheet%2080.jpg
sanborn_1255,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:1255,sanborn_knoxville1917_0122,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1255,100 ft./inch,District-Ward 117,1917,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1917,1917,Knoxville -- 1917,Sheet 117,Public domain.,"University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1255/datastream/TN/view/Knoxville%20--%201917%20--%20Sheet%20117.jpg
sanborn_1027,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:1027,sanborn_knoxville1890_0014,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1027,50 ft./inch,District-Ward 13,1890,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1890,1890,Knoxville -- 1890,Sheet 13,Public domain.,"University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1027/datastream/TN/view/Knoxville%20--%201890%20--%20Sheet%2013.jpg
sanborn_1246,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:1246,sanborn_knoxville1917_0113,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1246,50 ft./inch,District-Ward 108,1917,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1917,1917,Knoxville -- 1917,Sheet 108,Public domain.,"University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1246/datastream/TN/view/Knoxville%20--%201917%20--%20Sheet%20108.jpg
sanborn_1145,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:1145,sanborn_knoxville1917_0012,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1145,50 ft./inch,District-Ward 7,1917,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1917,1917,Knoxville -- 1917,Sheet 7,Public domain.,"University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1145/datastream/TN/view/Knoxville%20--%201917%20--%20Sheet%207.jpg
sanborn_166,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:166,sanborn_knoxville1917_0033,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A166,50 ft./inch,District-Ward 28,1917,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1917,1917,Knoxville -- 1917,Sheet 28,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A166/datastream/TN/view/Knoxville%20--%201917%20--%20Sheet%2028.jpg
sanborn_1014,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:1014,sanborn_knoxville1890_0001,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1014,50 ft./inch,,1890,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1890,1890,Knoxville -- 1890,Street Index,Public domain.,"University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1014/datastream/TN/view/Knoxville%20--%201890%20--%20Street%20Index.jpg
sanborn_1240,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:1240,sanborn_knoxville1917_0107,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1240,100 ft./inch,District-Ward 102,1917,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1917,1917,Knoxville -- 1917,Sheet 102,Public domain.,"University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1240/datastream/TN/view/Knoxville%20--%201917%20--%20Sheet%20102.jpg
sanborn_1227,reformatted digital,maps (documents) | http://vocab.getty.edu/aat/300028094,eng,eng,sanborn:1227,sanborn_knoxville1917_0094,http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1227,100 ft./inch,District-Ward 89,1917,"Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786 | Coordinates: 35.96064, -83.92074",cartographic,1917,1917,Knoxville -- 1917,Sheet 89,Public domain.,"University of Tennessee, Knoxville. Special Collections",Sanborn Map & Publishing Co. | URI: http://id.loc.gov/authorities/names/no97057603 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,New York,"Sanborn Map & Publishing Co., Ltd",Sanborn Fire Insurance Maps Collection,http://digital.lib.utk.edu/collections/sanbornmapcollection,"The Sanborn Fire Insurance Maps are a large-scale representation of the growth and layout of American cities. The University of Tennessee Libraries' collection currently provides digital versions of the four earliest sets of Knoxville maps - 1884, 1890, 1903, and 1917.","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/sanborn%3A1227/datastream/TN/view/Knoxville%20--%201917%20--%20Sheet%2089.jpg
